"LINE NUMBER","FFQNAME","SGDESC"
114,"PARSNIPS","Vegetables - parsnips/turnips/swedes"
115,"LEEKS","Vegetables - leeks"
116,"ONIONS","Vegetables - onions"
117,"GARLIC","Vegetables - garlic"
118,"MUSHROOMS","Vegetables - mushrooms"
119,"PEPPERS","Vegetables - sweet peppers"
120,"BEANSPROUTS","Vegetables - beansprouts"
121,"GREEN_SALAD","Vegetables - green salad type"
122,"WATERCRESS","Vegetables - watercress"
123,"TOMATOES","Vegetables - tomatoes"
124,"SWEETCORN","Vegetables - sweetcorn"
125,"BEETROOT","Vegetables - beetroot"
126,"COLESLAW","Vegetable salads - coleslaw"
127,"AVOCADO","Fruit - avocados"
128,"BEANS","Legumes - Baked beans"
129,"LENTILS","Legumes - dried lentils/beans/peas"
130,"TOFU","Vegetable dishes - soya foods"
